ID,Agency Name,Required Report Name,Report Description,Frequency,Frequency Integer,Other Frequency Description,Start Date,End Date,Authorizing Resource (Charter and Code),Authorizing Resource (Local Law),Formatted Start Date,Formatted End Date
898,"Records and Information Services, Department of (DORIS)",Language Access Implementation Plan/Local Law 30 of 2017 Report,,Every X years,3,,December 31 2020,,New York City Administrative Code Title 23 Section 1102(d),LL30/2017,2020-12-31,
899,"Records and Information Services, Department of (DORIS)",List of agency required reports,"List of all reports, documents, studies and publications required by local law, executive order, or mayoral directive to be published, issued, or transmitted to the council or mayor",,,Continually,,,"New York City Charter Chapter 49, Section 1133",LL 29/2019,,
900,"Records and Information Services, Department of (DORIS)",Municipal Archives Annual Report (contained within the Archival Review Board annual report),A report reviewing the processing of any city papers during the year for which the report has been written,Every X years,1,,January 1 2020,,"New York City Charter Chapter 72, Section 3005",,2020-01-01,
901,"Records and Information Services, Department of (DORIS)","New York City Archives, Reference, and Research Board (ARRAB) Report",Annually,Every X years,1,,December 31 2020,,"New York City Charter Chapter 72, Section 3009",,2020-12-31,
902,"Records and Information Services, Department of (DORIS)",Quarterly Equal Employment Opportunity and Diversity Plan Implementation,"A report on the agency's efforts during the previous quarter to implement the plan adopted pursuant to paragraph nineteen (annual plan) of Section 815(a),including details of agency's efforts to implement equal employment practices, including statistical information regarding total employment, including provisional, seasonal, per-diem and part-time employees, new hiring and promotions in a manner which facilitates understanding of an agency's efforts to provide fair and effective equal opportunity employment for minority group members, women and members of other groups who are employed by, or who seek employment with, city agencies",Every X months,3,,January 1 2020,,"New York City Charter Chapter 35, Section 815(i) ","LL 102/1977, LL 59/1996, LL 12/2019",2020-01-01,
903,"Records and Information Services, Department of (DORIS)",Report on Agency Policies on Identifying Information,"Report regarding the collection, retention, and disclosure of identifying information by such agency and any contractors or subcontractors utilized by such agency",Every X years,2,,July 31 2020,,"New York City Administrative Code Title 23, Section 1205",LL 245/2017,2020-07-31,
904,"Records and Information Services, Department of (DORIS)",Report on Open Data Compliance,"Report on which public data set or sets that it is unable to make available, the reasons why it cannot do so and the date by which the agency expects that such public data set or sets will be available on the single web portal",,,"Annually, direct to Mayor's Office for Open Data",,,"New York City Administrative Code Title 23, Section 502(a)",LL 11/2012,,
905,"Recovery & Resiliency, Mayor's Office of (ORR)",Language Access Implementation Plan/Local Law 30 of 2017 Report,,Every X years,3,,December 31 2020,,New York City Administrative Code Title 23 Section 1102(d),LL30/2017,2020-12-31,
906,"Recovery & Resiliency, Mayor's Office of (ORR)",NYC Climate Change Task Force recommendations,"A report with recommendations shall be issued based on an inventory of potential risks due to climate change to the city's communities, vulnerable populations, public health, natural systems, critical infrastructure, buildings and
economy. It will also include adaptation strategies to address such risks that may include design guidelines for new infrastructure, and short and long-term resiliency recommendations for existing public and private telecommunications infrastructure, including an evaluation of wireless infrastructure; and identify issues for further study.",,,Within one year of the development of recommended climate change projections.,,,"New York City Charter and Code Title 3, Section 123",LL42/2012,,
907,"Recovery & Resiliency, Mayor's Office of (ORR)",Quarterly Equal Employment Opportunity and Diversity Plan Implementation,"A report on the agency's efforts during the previous quarter to implement the plan adopted pursuant to paragraph nineteen (annual plan) of Section 815(a),including details of agency's efforts to implement equal employment practices, including statistical information regarding total employment, including provisional, seasonal, per-diem and part-time employees, new hiring and promotions in a manner which facilitates understanding of an agency's efforts to provide fair and effective equal opportunity employment for minority group members, women and members of other groups who are employed by, or who seek employment with, city agencies",Every X months,3,,January 1 2020,,"New York City Charter Chapter 35, Section 815(i) ","LL 102/1977, LL 59/1996, LL 12/2019",2020-01-01,
908,"Recovery & Resiliency, Mayor's Office of (ORR)",Renewable Energy Web Portal,"An interactive website designed to effectively inform the public about the feasibility and economic viability of installing renewable energy systems in the city of New York.  Content on the website shall include, but not be limited to, information on solar photovoltaic panels, solar water heaters, geothermal heat pumps, and leadership in energy and environmental design (LEED) certification.",,,Continually. Links featured on the website shall be verified on a quarterly basis.,,,"New York City Charter and Code Title 24, Section 804",LL12/2013,,
909,"Recovery & Resiliency, Mayor's Office of (ORR)",Report on Agency Policies on Identifying Information,"Report regarding the collection, retention, and disclosure of identifying information by such agency and any contractors or subcontractors utilized by such agency",Every X years,2,,July 31 2020,,"New York City Administrative Code Title 23, Section 1205",LL 245/2017,2020-07-31,
910,"Recovery & Resiliency, Mayor's Office of (ORR)",Report on Open Data Compliance,"Report on which public data set or sets that it is unable to make available, the reasons why it cannot do so and the date by which the agency expects that such public data set or sets will be available on the single web portal",,,"Annually, direct to Mayor's Office for Open Data",,,"New York City Administrative Code Title 23, Section 502(a)",LL 11/2012,,
911,"Sanitation, Department of (DSNY)",Alternative Fuel Street Sweeping Usage Report,"Report on the department of sanitation's alternative fuel street sweeping vehicle pilot project and all testing, analyses and assessments completed pursuant to subdivision c of this section. Such report shall include, but not be limited to: (i) a description of all testing, analyses and assessments, respectively, completed pursuant to that subdivision and all conclusions based upon such testing, analyses and assessments, including specific information regarding efforts made by the department of sanitation to further develop initiatives for the incorporation of alternative fuel sanitation vehicles into its fleet, in addition to specific information regarding the feasibility of incorporating such vehicles into such fleet; (ii) the number of alternative fuel street sweeping vehicles included in the pilot project required pursuant to paragraph one of that subdivision, the districts where such vehicles are located and the type of alternative fuel used by such vehicles; and, (iii) the total number of alternative fuel sanitation vehicles owned or operated by the department of sanitation, disaggregated according to vehicle model and type of alternative fuel used.",Every X years,1,,January 1 2020,,"New York Administrative Code 
Title 24, 163.2(d)(2)",LL 038/2015,2020-01-01,
912,"Sanitation, Department of (DSNY)",Citywide Recycling Plan/Annual Recycling Report,"Annual report on recycling efforts, including recycling by city agencies, recommendations additional programs/practices related to household hazardous waste, and recycling rates for all materials diverted from the residential waste stream pursuant to City and State law with cause of whatever non-compliance may exist and what action is being undertaken to assure compliance",Every X years,1,,March 1 2020,,"New York City Administrative Code Title 16, Section 305(k)(1)",LL 40/2010,2020-03-01,
913,"Sanitation, Department of (DSNY)",Draft Borough Based Snow Plans (for review by Council members etc.),Draft snow plowing and removal plan for each borough submitted by Commissioner,Every X years,1,,October 1 2020,,"New York City Administrative Code Title 16, Section 124.1(c) ",LL28/2011,2020-10-01,
914,"Sanitation, Department of (DSNY)",Final Borough Based Snow Plans,Final snow plowing and removal plan for each borough submitted by Commissioner,Every X years,1,,November 15 2020,,"New York City Administrative Code Title 16, Section 124.1(b) ",LL28/2011,2020-11-15,
915,"Sanitation, Department of (DSNY)",Follow-up waste characterization study (New waste characterization study),"Detailed, comprehensive citywide multi-season study of the city's residential and institutional waste streams for the purpose of determining the composition of the waste stream characterized by type of material",Once,1,,July 31 2024,,"New York City Administrative Code Title 16, Section 316.1(b)",LL 40/2010,2024-07-31,
916,"Sanitation, Department of (DSNY)",Identifying Information Law Report,"A report regarding the collection, retention, and disclosure of identifying information by such agency and any contractors or subcontractors utilized by such agency",Every X years,2,,July 31 2020,,NYC Administrative Code Title 23 Section 1205,"LL 245/2017, LL 247/2017",2020-07-31,
917,"Sanitation, Department of (DSNY)",Language Access Implementation Plan/Local Law 30 of 2017 Report,,Every X years,3,,December 31 2020,,New York City Administrative Code Title 23 Section 1102(d),LL30/2017,2020-12-31,
918,"Sanitation, Department of (DSNY)",Pension Fund Annual Report,Report on the accounts of treasurer and trustee completed by the Pension Fund Auditing Committee,Every X years,1,,February 1 2020,,"New York City Administrative Code Title 13, Chapter 5, Section 609(a)",,2020-02-01,
919,"Sanitation, Department of (DSNY)",Quarterly Equal Employment Opportunity and Diversity Plan Implementation,"A report on the agency's efforts during the previous quarter to implement the plan adopted pursuant to paragraph nineteen (annual plan) of Section 815(a),including details of agency's efforts to implement equal employment practices, including statistical information regarding total employment, including provisional, seasonal, per-diem and part-time employees, new hiring and promotions in a manner which facilitates understanding of an agency's efforts to provide fair and effective equal opportunity employment for minority group members, women and members of other groups who are employed by, or who seek employment with, city agencies",Every X months,3,,January 1 2020,,"New York City Charter Chapter 35, Section 815(i) ","LL 102/1977, LL 59/1996, LL 12/2019",2020-01-01,
920,"Sanitation, Department of (DSNY)",Report on Agency Policies on Identifying Information,"Report regarding the collection, retention, and disclosure of identifying information by such agency and any contractors or subcontractors utilized by such agency",Every X years,2,,July 31 2020,,"New York City Administrative Code Title 23, Section 1205",LL 245/2017,2020-07-31,
921,"Sanitation, Department of (DSNY)",Report on Commercial Waste Zone Program,"Report including information regarding the implementation of the commercial waste zone program for each month during the previous fiscal year, disaggregated by zone and further disaggregated by awardee",Every X years,1,,September 30 2020,,"New York City Administrative Code Title 16-B, Chapter 1, Section 1011",LL 199/2019,2020-09-30,
922,"Sanitation, Department of (DSNY)",Report on Open Data Compliance,"Report on which public data set or sets that it is unable to make available, the reasons why it cannot do so and the date by which the agency expects that such public data set or sets will be available on the single web portal",,,"Annually, direct to Mayor's Office for Open Data",,,"New York City Administrative Code Title 23, Section 502(a)",LL 11/2012,,
923,"Sanitation, Department of (DSNY)",Report on organic waste pilot recycling program in city-owned or agency occupied buildings,"Report including (i) the number of buildings participating in the pilot program, disaggregated by buildings wholly occupied by one or more city agencies, institutional special use buildings, and city-owned buildings containing the administrative offices of one or more city agencies; (ii) amount of organic waste diverted; (iii) outreach and education conducted, including number of trainings and number of individuals who have participated in such trainings, if applicable, and materials provided; (iv) the costs associated with the pilot program, including costs for outreach, bins and labor; (v) feedback from occupants of buildings participating in the pilot program concerning such pilot program, including the adequacy of the receptacles used for such pilot program and any other issues of concern; (vi) a list of buildings that had organics collection discontinued during the pilot program and the reason for such discontinuation; and (vii) a list of buildings that were considered for the pilot program and, if applicable, the reasons such buildings were not included. The department shall disaggregate such information by agency, building address, and borough, block and lot. Such report shall include recommendations as to whether the pilot program should be expanded and, if so, a schedule for expanding such pilot program. ",Once,1,,October 31 2021,,,LL 22/2019,2021-10-31,
924,"Sanitation, Department of (DSNY)",Report on permitted solid waste transfer stations,"A report listing permitted solid waste transfer stations and for each such station, organized by community district, certain information",Every X years,1,,October 1 2020,,"New York City Administrative Code Title 16, Chapter 4-H, Section 498.5",LL 152/2018,2020-10-01,
925,"Sanitation, Department of (DSNY)",Report on Study on Penalty Mitigation,Report on study on the feasibility and appropriateness of establishing a penalty mitigation program regarding any such violations issued to food service establishments or retail establishments,Once,1,,January 22 2020,,,LL 74/2018,2020-01-22,
926,"Sanitation, Department of (DSNY)",Voluntary Recycling Incentive Pilot Programs in Public Housing,A summary of its review of voluntary recycling incentive pilot programs.   The summary shall include the department's recommendation regarding implementing a voluntary recycling incentives pilot program to improve the diversion of designated recyclable materials in public housing.  ,Once,1,,July 1 2020,,"New York City Administrative Code Title 16, Section 316.4",LL 49/2017,2020-07-01,
927,"Small Business Services, Department of (SBS)",Agency Utilization Plans Report,"Agencies with procurements in excess of $5 million in the preceding fiscal year, submitted to the Commissioner and on approval, to the City Council",Every X years,1,,July 31 2020,,"New York City Administrative Code Title 6, Section 129(g)(1)",LL 1/2013,2020-07-31,
928,"Small Business Services, Department of (SBS)",Annual Compliance Report for Participation by Minority-Owned and Women-Owned Business Enterprises (M/WBE) and Emerging Business Enterprises in City Procurement (in Procurement Indicators Report),"Numbers of contracts and total dollar value awarded, and  whether each agency has made substantial progress toward achieving its utilization goals and whether the city has made substantial progress toward achieving the citywide goals established pursuant to subdivision d of this section. With Contract Services, Mayor's Office of (MOCS)",Every X years,1,,October 1 2020,,"New York City Administrative Code Title 6, Section 129(l)(1)","LL 117/2016, LL 1/2013",2020-10-01,
929,"Small Business Services, Department of (SBS)",Annual Reports - Development Corporations,"Report from Local Development Corporations expending City resources, on the extent and result of such assistance. With Economic Development Corporation (NYCEDC)",Every X years,1,,January 31 2020,,"New York City Charter Chapter 56, Section 1301, Sub-section B",,2020-01-31,
930,"Small Business Services, Department of (SBS)",Data on Workforce on City-Assisted Construction Projects,"Data regarding the number of hours worked, job title, full-time or part-time designation, total compensation, zip code of primary address, gender and race or ethnic group received pursuant to section 22-1102 of this chapter",,,Continually starting September 30 2021,,,New York City Administrative Code Title 22 Section 1103(a),"LL 36/2018, LL 39/2018",,
931,"Small Business Services, Department of (SBS)",Division of Economic and Financial Opportunity Annual Report for Entities Contracted to Provide Economic Development Benefits,Projected and actual jobs created and retained in connection with projects described by this section,Every X years,1,,January 31 2020,,New York City Administrative Code Title 22 Section 823,LL 222/2017,2020-01-31,
932,"Small Business Services, Department of (SBS)",Division of Economic and Financial Opportunity Report on Activities,"Annual report on the activities of the division undertaken to promote and increase participation by city-certified businesses under local law for the identification, recruitment, certification and participation in city procurement of minority and women owned business enterprises and emerging business enterprises",Every X years,1,,January 1 2020,,"New York City Charter Chapter 56, Section 1304(e)(5)",LL 144/2013,2020-01-01,
933,"Small Business Services, Department of (SBS)",First Report on Requests for Assistance Received by Small Business Advocates,"Report documenting requests for assistance received by the small businesses advocates in the immediately preceding calendar year. Each report shall include, but need not be limited to: (i) the total number of requests for assistance received by the small business advocates during the reporting period; (ii) a general description of the type of each such request; and (iii) a general description of the actions taken by the small business advocates, if any, in response to each such request",Once,1,,April 1 2020,,,LL 66/2015,2020-04-01,
934,"Small Business Services, Department of (SBS)",Language Access Implementation Plan/Local Law 30 of 2017 Report,,Every X years,3,,December 31 2020,,New York City Administrative Code Title 23 Section 1102(d),LL30/2017,2020-12-31,
935,"Small Business Services, Department of (SBS)",List of Community Districts for Storefront Assessments,A list of the community districts for which storefront assessments shall be commenced and the criteria for such selections,Every X years,3,,September 1 2020,,New York City Administrative Code Title 22 Section 1003(c),LL 152/2019,2020-09-01,
936,"Small Business Services, Department of (SBS)",Quarterly Equal Employment Opportunity and Diversity Plan Implementation,"A report on the agency's efforts during the previous quarter to implement the plan adopted pursuant to paragraph nineteen (annual plan) of Section 815(a),including details of agency's efforts to implement equal employment practices, including statistical information regarding total employment, including provisional, seasonal, per-diem and part-time employees, new hiring and promotions in a manner which facilitates understanding of an agency's efforts to provide fair and effective equal opportunity employment for minority group members, women and members of other groups who are employed by, or who seek employment with, city agencies",Every X months,3,,January 1 2020,,"New York City Charter Chapter 35, Section 815(i) ","LL 102/1977, LL 59/1996, LL 12/2019",2020-01-01,
937,"Small Business Services, Department of (SBS)",Recommendations by the Economic Development Corporation on Evaluating Methodology by which Projects Receive Economic Development Subsidies,,Every X years,2,,March 1 2021,,New York City Administrative Code Title 22 Section 823,LL 28/1997,2021-03-01,
938,"Small Business Services, Department of (SBS)",Report evaluating assistance to small businesses,"Report shall include, but not be limited to: (i) a list of all recipients of such economic development benefits; (ii) the minority and women-owned business goals for these recipients; (iii) whether the recipient conducted a good faith effort to identify and utilize minority and women-owned businesses to achieve such goals; and (iv) if minority and women-owned business contracting goals were not met by a recipient, a description of the reasons the goals were not met.",Every X years,1,,January 1 2020,,"New York City Charter Chapter 56, Section 1301(b)(2)",LL 003/2016,2020-01-01,
939,"Small Business Services, Department of (SBS)",Report on Activities of the Division of Economic and Financial Opportunity,,Every X years,1,,January 1 2020,,"New York City Charter Chapter 56, Section 1304(e)(5)","LL 12/2006, LL 129/2005, LL 61/1991",2020-01-01,
940,"Small Business Services, Department of (SBS)",Report on Agency Policies on Identifying Information,"Report regarding the collection, retention, and disclosure of identifying information by such agency and any contractors or subcontractors utilized by such agency",Every X years,2,,July 31 2020,,"New York City Administrative Code Title 23, Section 1205",LL 245/2017,2020-07-31,
941,"Small Business Services, Department of (SBS)",Report on City-Assisted Construction Workforce Disclosure,"A report providing details concerning the workforce of covered projects. Beginning with the second report required pursuant to this subdivision, the report shall include information concerning trends related to individuals employed on covered projects based upon data aggregated from workforce disclosure records as provided for by section 22-1102.",Every X years,5,,October 31 2022,,New York City Administrative Code Title 22 Section 1103(b),"LL 36/2018, LL 39/2018",2022-10-31,
942,"Small Business Services, Department of (SBS)",Report on difficulties faced by worker coops and recommendation for improvements,"No later than six months after the end of every 3rd fiscal year, report to include (a) a description of difficulties or obstacles that worker cooperatives encounter when competing for city contracts;(b) recommended measures to lessen the effects of such difficulties and obstacles and to enhance the ability of worker cooperatives to compete for and obtain city contracts; and (c) a description of the impact of services provided by the department to worker cooperatives in the previous three fiscal years",Every X years,3,,December 30 2022,,"New York City Administrative Code Chapter 6, Section 139(c)(2)",LL 22/2015,2022-12-30,
943,"Small Business Services, Department of (SBS)",Report on M/WBE Program,City's Minority and Women-Owned Business Enterprise (M/WBE) Program accomplishments for Fiscal Year,Every X years,1,,January 30 2020,,"New York City Charter Chapter 56, Section 1301(b)(2)",LL 109/2016,2020-01-30,
944,"Small Business Services, Department of (SBS)",Report on Microbusinesses,"Report on the number of microbusinesses, as defined by section 22-1001 of the administrative code of the city of New York, known to be doing business in the city, disaggregated by 1. Borough and zip code; and 2. Industry, pursuant to the most recent industry classifications standards of the North American industry classification system",Once,1,,January 15 2020,,,LL 151/2019,2020-01-15,
945,"Small Business Services, Department of (SBS)",Report on number of worker coops,"No later than six months after the end of each fiscal year, report including (a) the number of worker cooperatives that applied for assistance from the department in the previous fiscal year; the number of worker cooperatives assisted by the department in the previous fiscal year; the industries in which such worker cooperatives operate and the community districts in which such worker cooperatives are headquartered; and the specific actions taken by the department in the previous fiscal year to assist the development of worker cooperatives, including, but not limited to, the services rendered by the department to enhance the ability of such worker cooperatives to compete for and obtain city contracts; and (b) for each of the worker cooperatives assisted by the department in the previous fiscal year as described in subparagraph (a) of this paragraph, the department shall furnish the name and address of such worker cooperative; the number of natural persons who became worker-members during the previous fiscal year, where made available to the department; the number of non-member workers who were hired during the previous fiscal year, where made available to the department; and a summary of the services provided by the department to such worker cooperative in the previous fiscal year.",Every X years,1,,December 30 2020,,"New York City Administrative Code Chapter 6, Section 139(c)(1) ",LL 22/2015,2020-12-30,
946,"Small Business Services, Department of (SBS)",Report on Open Data Compliance,"Report on which public data set or sets that it is unable to make available, the reasons why it cannot do so and the date by which the agency expects that such public data set or sets will be available on the single web portal",,,"Annually, direct to Mayor's Office for Open Data",,,"New York City Administrative Code Title 23, Section 502(a)",LL 11/2012,,
947,"Small Business Services, Department of (SBS)",Report on Recommendations Regarding Street or Sidewalk Obstructions,Notice of any recommendation made by the commissioner or his or her designee shall be published in the City Record and mailed to each community board not less than thirty days prior to such commissioner's report to the council.,,,As needed,,,New York City Administrative Code Title 19 Section 136,,,
948,"Small Business Services, Department of (SBS)",Report on Storefront Businesses,"In consultation with the departments of city planning and finance, a report containing information related to storefront businesses citywide, which shall be disaggregated by community district, and include but need not be limited to the following factors: (i) the number of storefront businesses; (ii) the types of economic activity being conducted at such storefronts; (iii) data relating to numbers of employees at such storefronts; (iv) data relating to annual sales and sales tax data at such storefronts; (v) the number of vacant storefront businesses; and (vi) demographics",Every X years,1,,August 23 2021,,New York City Administrative Code Title 22 Section 1003(c),LL 152/2019,2021-08-23,
949,"Small Business Services, Department of (SBS)",Report on Survey of Microbusinesses,"Report on survey, including information related to: (i) types of items commonly sold or services offered; (ii) length of time businesses typically operate at one location; (iii) common lease terms; (iv) challenges faced during lease renewal periods for such leases; and (v) utilization of e-commerce options and alternative sales options",Once,1,,July 15 2020,,,LL 151/2019,2020-07-15,
950,"Small Business Services, Department of (SBS)",Revisions of Participation Goals and Review of  Availability Rates and Enhancement of Opportunities,"Report on review and any other relevant information, and where appropriate, revise by rule the citywide participation goals set forth in this subdivision.  With Contract Services, Mayor's Office of (MOCS)",,,Every two years; At least 60 days prior to submitting a proposed participation goal revision,,,"New York City Administrative Code Title 6, Section 129(d)(4)(A)",LL 1/2013,,
951,"Small Business Services, Department of (SBS)",Seafood Distribution Areas Annual Report,,Every X years,1,,January 1 2020,,,"LL 102/2013, LL 48/2005",2020-01-01,
952,"Small Business Services, Department of (SBS)",Second Report on Requests for Assistance Received by Small Business Advocates,"Report documenting requests for assistance received by the small businesses advocates in the immediately preceding calendar year. Each report shall include, but need not be limited to: (i) the total number of requests for assistance received by the small business advocates during the reporting period; (ii) a general description of the type of each such request; and (iii) a general description of the actions taken by the small business advocates, if any, in response to each such request",Once,1,,April 1 2020,,,"LL 66/2015,  LL 28/1997,   LL 54/1995,   LL 50/1995   ",2020-04-01,
953,"Small Business Services, Department of (SBS)",Waterfront Plans,The commissioner shall report to the City Planning Commission including a map showing any proposed change and such other information as the Chair of the City Planning Commission would require,,,As needed,,,"New York City Charter Chapter 56, Section 1302, Subsection C",,,
954,"Standards and Appeals, Board of (BSA)",Language Access Implementation Plan/Local Law 30 of 2017 Report,,Every X years,3,,December 31 2020,,New York City Administrative Code Title 23 Section 1102(d),LL30/2017,2020-12-31,
955,"Standards and Appeals, Board of (BSA)",Minutes of Meetings,Minutes of board proceedings. Due upon immediate filing of action,,,As needed,,,New York City Charter Section  27-663,,,
956,"Standards and Appeals, Board of (BSA)",Quarterly Equal Employment Opportunity and Diversity Plan Implementation,"A report on the agency's efforts during the previous quarter to implement the plan adopted pursuant to paragraph nineteen (annual plan) of Section 815(a),including details of agency's efforts to implement equal employment practices, including statistical information regarding total employment, including provisional, seasonal, per-diem and part-time employees, new hiring and promotions in a manner which facilitates understanding of an agency's efforts to provide fair and effective equal opportunity employment for minority group members, women and members of other groups who are employed by, or who seek employment with, city agencies",Every X months,3,,January 1 2020,,"New York City Charter Chapter 35, Section 815(i) ","LL 102/1977, LL 59/1996, LL 12/2019",2020-01-01,
957,"Standards and Appeals, Board of (BSA)",Records of Examinations,Records of examinations and other official actions. Due upon immediate filing of action,,,As needed,,,New York City Charter Section 27-664,,,
958,"Standards and Appeals, Board of (BSA)",Report on Agency Policies on Identifying Information,"Report regarding the collection, retention, and disclosure of identifying information by such agency and any contractors or subcontractors utilized by such agency",Every X years,2,,July 31 2020,,"New York City Administrative Code Title 23, Section 1205",LL 245/2017,2020-07-31,
959,"Standards and Appeals, Board of (BSA)",Report on Open Data Compliance,"Report on which public data set or sets that it is unable to make available, the reasons why it cannot do so and the date by which the agency expects that such public data set or sets will be available on the single web portal",,,"Annually, direct to Mayor's Office for Open Data",,,"New York City Administrative Code Title 23, Section 502(a)",LL 11/2012,,
960,"Standards and Appeals, Board of (BSA)",Report on Variances and Special Permits in First Quarter of the Fiscal Year,A report regarding variances and special permits for the  first four months of the fiscal year,Every X years,1,,December 15 2020,,"New York City Administrative Code Title 25, Section 208(a) and (b)",LL 104/2017,2020-12-15,
962,"Standards and Appeals, Board of (BSA)",Rules & Regulations,"Every rule or regulation, every amendment or repeal of same, every order, requirement, decision or determination by the Board. Due upon immediate filing of action",,,As needed,,,New York City Charter Section 27-665,,,
963,"Sustainability, Mayor's Office of (Sustainability)",Annual Report on the implementation of the Clean Waterfront Plan,"Annual Report on the implementation of Local Law 55 of 2011 Clean Waterfront Plan includes: (i) the number of complaints received by the city concerning conduct that constitutes waterfront dumping, littering on any streets or public places located on waterfront property, the abandoning of vehicles, vessels and crafts on waterfront property and the improper handling and storage of merchandise and materials on wharves, piers, docks and bulkheads. (ii) the number of summonses and notices of violation, respectively, issued by each agency for violations of any law, rule or regulation relating to waterfront dumping, littering on any streets or public places located on waterfront property, the abandoning of vehicles, vessels and crafts on waterfront property and the improper handling and storage of merchandise and materials on wharves, piers, docks and bulkheads; (iii) the total amount of civil penalties imposed for such notices of violation by the environmental control board; (iv) any changes made to the Clean Waterfront Plan; (v) a summary of any rules promulgated to implement the Clean Waterfront Plan; and (vi) recommendations for appropriate legislation and improved enforcement with respect to the Clean Waterfront Plan.",Every X years,2,,April 1 2020,,"New York City Administrative Code Title 3, Section 121(d)(1)",LL55/2001,2020-04-01,
964,"Sustainability, Mayor's Office of (Sustainability)",Annual Report on the New York City Climate Protection Act,"Report on the New York City Climate Protection Act by reporting annual greenhouse gas inventories. Such reports shall include changes in citywide and city government emissions measured in carbon dioxide equivalent achieved for the previous calendar year, relative to such emissions for the base year for citywide emissions. It shall also include a description of the programs developed and implemented, a list of the entities participating in such programs of which the office is aware and a description of the education and outreach activities developed and implemented.",Every X years,1,,September 17 2020,,"New York City Charter and Code Title 24, Section 805",LL 22/2008,2020-09-17,
965,"Sustainability, Mayor's Office of (Sustainability)",City Food Metrics Report,"Annual city food system metrics report, regarding the production, processing, distribution and consumption of food in and for the city of New York during the previous fiscal year (the food security portion)",Every X years,1,,September 1 2020,,"New York City Administrative Code Title 3, Section 120, 
New York City Charter Chapter 1, Section 20(j)","LL 133/2013
LL52/2011",2020-09-01,
966,"Sustainability, Mayor's Office of (Sustainability)",Draft Environmental Justice Plan. With Interagency Working Group,"Plan that provides guidance for incorporating environmental justice concerns into city decision-making, identifies possible citywide initiatives for promoting environmental justice and provides specific recommendations for city agencies represented on the interagency working group",Once,1,,January  31 2020,,"New York City  Administrative Code Title 3, Section 1003(b)(2)",LL 64/2017,2020-01-31,
967,"Sustainability, Mayor's Office of (Sustainability)",Draft Revisions to the Environmental Justice Plan. With Interagency Working Group,,Every X years,5,,December 31 2024,,"New York City  Administrative Code Title 3, Section 1003(c)(1)",LL 64/2017,2024-12-31,
968,"Sustainability, Mayor's Office of (Sustainability)",Final Environmental Justice Plan. With Interagency Working Group,,Once,1,,December 31 2021,,"New York City  Administrative Code Title 3, Section 1003(b)(3)",LL 64/2017,2021-12-31,
969,"Sustainability, Mayor's Office of (Sustainability)",Final Revisions to the Environmental Justice Plan. With Interagency Working Group,,Every X years,5,,December 31 2025,,"New York City  Administrative Code Title 3, Section 1003(c)(3)",LL 64/2017,2025-12-31,
970,"Sustainability, Mayor's Office of (Sustainability)",Green Building Standards Exemption Report,The mayor may exempt from each provision of this section capital projects accounting for up to 20 percent of the capital dollars in each fiscal year subject to such provision if in such mayor's sole judgment such exemption is necessary in the public interest. At the conclusion of each fiscal year the mayor shall report to the council the exemptions granted pursuant to this section. At the conclusion of each fiscal year.,Every X years,1,,June 30 2020,,"New York City Charter Chapter 9, Section 224.1(f)","LL 31/2016, LL 32/2016, LL 86/2005",2020-06-30,
971,"Sustainability, Mayor's Office of (Sustainability)",Language Access Implementation Plan/Local Law 30 of 2017 Report,,Every X years,3,,December 31 2020,,New York City Administrative Code Title 23 Section 1102(d),LL30/2017,2020-12-31,
972,"Sustainability, Mayor's Office of (Sustainability)",Long-term Energy Plan,"With the Energy Policy Advisory Subcommittee. Including 1.   An assessment of the feasibility of replacing in-city gas-fired power plants associated with the bulk power system with battery storage powered by renewable energy sources in a manner that is consistent with the New York state public service commission energy storage deployment policy developed pursuant to section 74 of the public service law; 2.   An assessment of when such replacement, if feasible, can take place; and  3.   A review of potential technologies for battery storage of energy.",Every X years,4,,December 31 2021,,"New York City Administrative Code Title 3, Section 126(d) and ","LL 99/2019, LL 248/2017",2021-12-31,
973,"Sustainability, Mayor's Office of (Sustainability)",Long-Term Sustainability Plan,"Long-Term Sustainability Plan,  consisting of the identification and analysis of issues such as housing, open space, brownfields, transportation ,water quality and infrastructure, air quality, energy and climate change. Also, the goals associated with each category and any other determined by the director. The policies, plans and actions taken to realize the objectives of the city's long-term sustainability plan.",Every X years,4,,April 22 2020,,"New York City Charter Chapter 1, Section 20(e)",,2020-04-22,
974,"Sustainability, Mayor's Office of (Sustainability)",Long-Term Sustainability Plan and Updated Plan,"The long-term sustainability plan, PlaNYC/OneNYC report  is updated every four years and sets forth goals and a list of policies, programs and actions that the City will seek to implement or undertake to achieve each goal by no later than twenty years from the date each such updated long-term sustainability plan is submitted. Any updated plan shall report on the status of the milestones, goals, policies, programs or actions contained in the immediately preceding updated plan.",Every X years,4,,April 22 2020,,"New York City Charter, Chapter 1, Section 20(e)",LL 17/2008,2020-04-22,
975,"Sustainability, Mayor's Office of (Sustainability)",NYC Climate Change Projections,"The New York City Panel on Climate Change makes recommendations for the near-, intermediate and long-term quantitative and qualitative climate change projections for the city of New York.",,,Within one year of the publication of the International Panel on Climate Change Assessment Reports or at least every three years.,,,"New York City Charter and Code Title 3, Section 122",LL42/2012,,
